_id,name,specie,gender,breed,weight,birthDate,chipNumber,photo,owner,favoriteVets
f6e70691-0606-475b-842d-05cc462de7f5,Max,perro,macho,Shih Tzu,31.3,08/03/2019,206584281734950,,,
13d4c403-d980-4ac5-bfb7-669cdcd8c774,Rocky,perro,macho,Dálmata,30.7,20/03/2019,863175402967138,,,
3f827b1c-6e4e-4082-9e09-31ee3d6092d5,Bruno,perro,macho,Samoyedo,37.8,19/04/2018,194357608291045,,,
a1c852ed-faf1-4761-8404-bbec2d19c829,Luna,perro,hembra,Mestizo,6.7,26/05/2017,725091384678201,,,
17760d6b-86b3-4e6b-a7d9-ec941a209e88,Nala,perro,hembra,Beagle,47.3,26/04/2016,451963720854297,,,
f0903260-f149-4ccc-8ccc-910013b4e4c4,Toby,perro,macho,Beagle,2.4,28/03/2016,930812547690382,,,
3efb1415-7696-4762-af61-9ac2490a259b,Kira,perro,hembra,Setter Irlandés,14.5,07/07/2016,587120693456719,,,
af32aedd-f1df-46b2-bad6-e2ad20c1cc6b,Zeus,perro,macho,Bulldog Francés,33.1,23/05/2025,312497850623145,,,
e0a4d5dc-dac7-4ba6-9c98-5a6b8170702f,Molly,perro,hembra,Beagle,38.9,28/12/2020,678901234567890,,,
0792b769-e290-4009-b552-11a430fccdeb,Zoe,perro,hembra,Rottweiler,24.2,28/05/2020,12345678901234,,,
fb3d25f4-fd68-43f4-ae23-00bc00d2cf0f,Canela,perro,hembra,Boxer,2.2,26/10/2018,105792346801235,,,
e3b1e3a4-dfe1-44d2-940b-ae61a6f7e187,Gala,perro,hembra,Bulldog Francés,7.3,31/05/2023,890123456789012,,,
3db5b29e-1df4-4234-bfe9-5d8d28476e64,Leo,perro,macho,West Highland White Terrier,19.5,18/04/2016,345678901234567,,,
3def9db9-557b-4d90-977c-4c47d852bdb3,Frida,perro,hembra,Schnauzer,19.7,31/07/2018,789012345678901,,,
b7a93a7f-a14d-4822-8b48-e8b8ca2ad7b3,Laila,perro,hembra,Caniche,9.2,10/12/2017,12345678901235,,,
2d86e988-5c0c-4bdc-ad91-0eb7c04039e3,Kiara,perro,hembra,Boxer,33.1,20/03/2025,123456789012345,,,
2aaa9b3c-c9ae-4d97-8dc5-9a53715267ac,Estrella,perro,hembra,West Highland White Terrier,21.7,20/05/2016,678901234567891,,,
8cf9d5f6-c743-4e3b-a49e-8fe24b7e8906,Abril,perro,hembra,Chihuahua,39.3,04/11/2017,234567890123456,,,
703642db-d56f-4734-bf96-9e0d547bd8e2,Coco,perro,macho,Bull Terrier,14.6,20/04/2021,567890123456789,,,
3bc5395a-2cd1-472b-b1be-5fd1e53c32f3,Balu,perro,macho,Pointer,20.2,25/08/2023,901234567890123,,,
98ea8e4d-b998-43d8-8e65-a9fe99543f39,Arya,perro,hembra,Pug,45.6,07/06/2017,456789012345678,,,
7a4e56c6-f370-485d-9b9d-b8cc00e61626,Bella,perro,hembra,Gran Danés,46.6,03/11/2015,789012345678902,,,
bf1c5c4f-fb5d-49c5-93b4-01e56f4908c2,Tana,perro,hembra,Husky Siberiano,26.4,30/12/2024,12345678901236,,,
652471b2-4a0d-426d-8100-6cfac57edb7a,Simba,perro,macho,Chihuahua,31.5,09/09/2021,123456789012346,,,
9b0675c6-4c70-4b16-a5c1-7b3211683549,Nina,perro,hembra,Galgo,32.1,31/07/2016,890123456789013,,,
c8e6d693-495e-43d0-9c6a-b4bb485ebcb1,Dante,perro,macho,Labrador Retriever,33,30/09/2016,345678901234568,,,
